D058165	22q11 Deletion Syndrome
C537496	Stoelinga de Koomen Davis syndrome
D013322	Strongyloidiasis
D013341	Sturge-Weber Syndrome
C537502	Stuve-Wiedemann syndrome
C537503	Subcutaneous panniculitis-like T-cell lymphoma
C538139	Sucrase-isomaltase deficiency, congenital
C538142	Summitt syndrome
D050798	SUNCT Syndrome
D013494	Supranuclear Palsy, Progressive
D055955	Susac Syndrome
D016463	Sweet Syndrome
D013576	Syndactyly
C538153	Syndactyly, type 2
C538154	Syndactyly, type 3
C538155	Syndactyly, type v
D013586	Synovitis, Pigmented Villonodular
D013595	Syringomyelia
D056647	Systemic Vasculitis
D013625	Takayasu Arteritis
D013631	Tangier Disease
C536942	TARP syndrome
C536945	Taurodontia absent teeth sparse hair
D013661	Tay-Sachs Disease
C536948	Teebi Kaurah syndrome
C536950	Teebi Shaltout syndrome
C536952	Teeth noneruption of with maxillary hypoplasia and genu valgum
C536953	Tel Hashomer camptodactyly syndrome
C536956	Temporal epilepsy, familial
C536959	Temtamy syndrome
D013724	Teratoma
D013742	Tetanus
C536500	Tetraamelia multiple malformations
D013771	Tetralogy of Fallot
D057891	Tetraploidy
C536502	Tetrasomy X
C536506	Thanatophoric dysplasia Glasgow variant
C536510	Thiamine responsive megaloblastic anemia syndrome
C536514	Thomas syndrome
D013901	Thoracic Outlet Syndrome
C536517	Thoracolaryngopelvic dysplasia
D013920	Thrombocythemia, Essential
C536900	Thrombomodulin anomalies, familial
D057049	Thrombotic Microangiopathies
C536901	Thrombotic thrombocytopenic purpura, acquired
C536904	Thumb deformity, alopecia, pigmentation anomaly
C536905	Thymic epithelial tumor
C536907	Thymic-Renal-Anal-Lung dysplasia
D013945	Thymoma
C536914	Thyroid cancer, medullary
C536918	Tibia absent polydactyly arachnoid cyst
C536919	Tietz syndrome
C536962	Timothy syndrome
D020333	Tolosa-Hunt Syndrome
D020254	Tooth Ankylosis
C536970	Torticollis keloids cryptorchidism renal dysplasia
C536974	Townes-Brocks syndrome
D014120	Toxocariasis
D014125	Toxoplasmosis, Congenital
C536975	Tracheal agenesis
D014137	Tracheobronchomegaly
C536979	Transient bullous dermolysis of the newborn
C536980	Transient erythroblastopenia of childhood
C536544	Treft Sanborn Carey syndrome
D014205	Trench Fever
D014235	Trichinellosis
C536551	Trichodental syndrome
C536549	Tricho-dento-osseous syndrome
C536553	Trichofolliculoma
D054463	Trichothiodystrophy Syndromes
D018785	Tricuspid Atresia
D051303	Trigeminal Autonomic Cephalalgias
D014277	Trigeminal Neuralgia
C536564	Triphalangeal thumbs brachyectrodactyly
D057885	Triploidy
D014314	Trisomy
C536796	Trisomy 22 mosaicism syndrome
D018245	Trophoblastic Tumor, Placental Site
D014353	Trypanosomiasis, African
D014376	Tuberculosis
D014402	Tuberous Sclerosis
C536922	Tubulointerstitial nephritis and uveitis
C536924	Tufted angioma
D014406	Tularemia
D058285	Tungiasis
D014424	Turner Syndrome
D014438	Typhus, Epidemic Louse-Borne
C536932	Uhl anomaly
C536934	Ulna hypoplasia with mental retardation
C536935	Ulna metaphyseal dysplasia syndrome
C536936	Ulnar hypoplasia lobster claw deformity of feet
C536937	Ulnar-mammary syndrome
C536938	Umbilical cord ulceration and intestinal atresia
C536939	Uncombable hair syndrome
C536471	Uniparental disomy, paternal, chromosome 14
D020194	Unverricht-Lundborg Syndrome
C536472	Upington disease
D014496	Urachal Cyst
C536477	Urethral obstruction sequence
C536480	Urofacial syndrome
D014582	Urticaria Pigmentosa
D052245	Usher Syndromes
C536494	Uveal melanoma
D014605	Uveitis
C536495	VACTERL association
C536525	Valproic acid antenatal infection
C536528	Van der Woude syndrome
D014657	Vasculitis
D020293	Vasculitis, Central Nervous System
C536533	Vasquez Hurst Sotos syndrome
C536534	VATER association
C536535	Vein of Galen aneurysm
C536541	Verloove-Vanhorick Brubakk syndrome
C536344	Vertebral fusion posterior lumbosacral blepharoptosis
D003969	Vipoma
C536350	Visceral myopathy familial external ophthalmoplegia
C536352	Vitreoretinochoroidopathy
D006623	von Hippel-Lindau Disease
D014842	von Willebrand Diseases
D056725	von Willebrand Disease, Type 1
D056728	von Willebrand Disease, Type 2
D056729	von Willebrand Disease, Type 3
D014849	Waardenburg Syndrome
C536463	Waardenburg syndrome type 2
D017624	WAGR Syndrome
D008258	Waldenstrom Macroglobulinemia
C536567	Waldmann disease
C536568	Walker Dyson syndrome
D058494	Walker-Warburg Syndrome
D014884	Waterhouse-Friderichsen Syndrome
C536687	Weaver syndrome
D056846	Weill-Marchesani Syndrome
C537082	Weismann Netter syndrome
C536690	Welander distal myopathy, Swedish type
C536693	Wells syndrome
D014898	Werner Syndrome
C536695	Weyers acrofacial dysostosis
C536697	WHIM syndrome
D008061	Whipple Disease
C536700	White forelock with malformations
D014917	Whooping Cough
C536703	Wieacker syndrome
D018980	Williams Syndrome
D009396	Wilms Tumor
C536711	Winship Viljoen Leary syndrome
D014923	Wiskott-Aldrich Syndrome
D014924	Wissler's Syndrome
C536739	Wolcott-Rallison syndrome
D054877	Wolf-Hirschhorn Syndrome
D014929	Wolfram Syndrome
D015223	Wolman Disease
C536742	Woodhouse Sakati syndrome
C536745	Woolly hair, congenital
C536746	Woolly hair, hypotrichosis, everted lower lip and outstanding ears
C536747	Worster Drought syndrome
C536750	Wrinkly skin syndrome
C536751	WT limb blood syndrome
C536752	Wyburn Mason's syndrome
D014972	Xanthogranuloma, Juvenile
D019294	Xanthomatosis, Cerebrotendinous
D014983	Xeroderma Pigmentosum
C536766	Xeroderma pigmentosum, variant type
C536767	XK aprosencephaly
C536760	X-linked mental retardation type Wittwer
C536761	X-linked sideroblastic anemia
D014997	XYY Karyotype
D015004	Yellow Fever
C536771	Yemenite deaf-blind hypopigmentation syndrome
D015009	Yersinia Infections
C536716	Young McKeever Squier syndrome
C536718	Young Syndrome
C536719	Yunis Varon syndrome
D015211	Zellweger Syndrome
C536726	Zlotogora-Ogur syndrome
D015043	Zollinger-Ellison Syndrome
D020096	Zygomycosis
